period,year,month,entity_scope,entity_id,metric_id,value_percent,comparability_class,coverage_status,metric_definition,source_artifact,source_url,extracted_at,notes
2024-11,2024,11,network,Gesamtnetz,punctuality_p0,65.32,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2024-12,2024,12,network,Gesamtnetz,punctuality_p3,94.40,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2024-12,2024,12,network,Gesamtnetz,reliability_zg,94.89,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2024-12,2024,12,network,Gesamtnetz,punctuality_p0,70.48,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2025-01,2025,1,network,Gesamtnetz,punctuality_p3,94.32,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2025-01,2025,1,network,Gesamtnetz,reliability_zg,95.26,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2025-01,2025,1,network,Gesamtnetz,punctuality_p0,71.40,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2025-02,2025,2,network,Gesamtnetz,punctuality_p3,92.59,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2025-02,2025,2,network,Gesamtnetz,reliability_zg,94.28,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2025-02,2025,2,network,Gesamtnetz,punctuality_p0,68.40,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2025-03,2025,3,network,Gesamtnetz,punctuality_p3,93.45,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2025-03,2025,3,network,Gesamtnetz,reliability_zg,94.40,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2025-03,2025,3,network,Gesamtnetz,punctuality_p0,70.39,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
